,player,team,games,goals,assists,points,pl_min,shoots,per_shoots,penalty_time,avr_time_on_ice,position
401,Скворцов Гунарс,ДРГ,23,0,0,0,-10,22,0.0,27,14:21,F
402,Скориков Даниил,СЮЛ,3,0,0,0,0,2,0.0,0,08:57,F
403,Скотт Грег,ЦСК,45,9,8,17,12,77,11.7,24,12:43,F
404,Слепец Кирилл,ЛОК,10,1,0,1,-4,14,7.1,2,07:27,F
405,Слепышев Антон,ЦСК,56,15,10,25,19,120,12.5,20,14:44,F
406,Слобода Марек,СЛВ,35,3,0,3,-8,24,12.5,6,09:06,F
407,Смолин Михаил,ТОР,25,2,1,3,-5,29,6.9,43,07:17,F
408,Солодухин Вячеслав,СЮЛ,37,6,2,8,2,38,15.8,6,12:42,F
409,Сорокин Евгений,СПР,4,0,0,0,0,2,0.0,2,08:06,F
410,Стальнов Донат,ТОР,7,0,1,1,-1,6,0.0,4,04:12,F
411,Старков Степан,СОЧ,34,3,3,6,2,35,8.6,8,09:55,F
412,Старченко Роман,БАР,56,18,21,39,16,116,15.5,18,16:03,F
413,Стась Андрей,АВГ,53,3,3,6,9,44,6.8,14,09:25,F
414,Степанов Андрей,ДМН,38,4,6,10,-3,60,6.7,14,13:08,F
415,Стоа Райан,ТРК,59,11,15,26,-10,120,9.2,30,15:59,F
416,Стольберг Виктор,АВГ,29,7,4,11,-3,53,13.2,8,15:15,F
417,Столяров Геннадий,ВИТ,59,5,10,15,-6,83,6.0,19,18:02,F
418,Странски Матей,СЕВ,17,3,3,6,-1,37,8.1,12,13:24,F
