,player,team,games,goals,assists,points,pl_min,shoots,per_shoots,penalty_time,avr_time_on_ice,position
734,Пиганович Олег,СИБ,35,1,7,8,-6,50,2.0,47,15:19,D
735,Погоришный Олег,СОЧ,14,1,1,2,-5,13,7.7,2,14:36,D
736,Покка Вилле,АВГ,61,7,10,17,13,110,6.4,8,19:16,D
737,Полашек Адам,НХК,58,7,19,26,-14,125,5.6,49,23:12,D
738,Полохов Кирилл,БАР,52,0,1,1,-4,21,0.0,6,06:29,D
739,Постма Пол,АКБ,57,8,20,28,20,123,6.5,12,20:45,D
740,Прибыльский Андрей,ДИН,23,0,2,2,-4,9,0.0,0,08:28,D
741,Провольнев Владислав,СПР,38,3,5,8,4,60,5.0,32,15:17,D
742,Расанен Еемели,ЙОК,12,1,1,2,2,13,7.7,7,10:23,D
743,Рафиков Рушан,ЛОК,48,5,9,14,5,94,5.3,16,16:55,D
744,Редлихс Кришьянис,КУН,12,0,1,1,-3,3,0.0,4,14:49,D
745,Робинсон Мэт,ЦСК,52,5,11,16,26,67,7.5,22,20:39,D
746,Родионычев Дмитрий,ТОР,24,2,0,2,-3,17,11.8,4,08:12,D
747,Романов Александр,ЦСК,43,1,4,5,16,32,3.1,12,11:23,D
748,Романов Станислав,ВИТ,33,0,2,2,-7,13,0.0,17,15:21,D
749,Рукавишников Роман,СКА,31,0,3,3,7,33,0.0,7,17:00,D
750,Рундблад Давид,СКА,36,5,9,14,19,56,8.9,8,17:21,D
751,Рыков Егор,СОЧ,47,3,6,9,-4,66,4.5,8,19:24,D
752,Рылов Яков,ММГ,60,2,3,5,8,73,2.7,44,15:56,D
753,Рясенский Евгений,ТРК,36,0,1,1,-10,21,0.0,35,18:27,D
754,Савченко Роман,СИБ,46,2,2,4,-13,67,3.0,20,15:12,D
755,Сведберг Виктор,БАР,29,3,6,9,22,69,4.3,16,21:22,D
756,Семёнов Алексей,СЮЛ,42,0,5,5,-6,39,0.0,24,16:22,D
757,Семёнов Глеб,НХК,18,1,1,2,1,7,14.3,29,05:19,D
758,Семёнов Максим,БАР,48,1,2,3,-5,35,2.9,16,12:44,D
759,Сергеев Андрей,НХК,43,3,11,14,-4,102,2.9,16,22:46,D
760,Сергеев Артём,СЮЛ,57,6,6,12,5,100,6.0,38,20:00,D
761,Сергиенко Юрий,СЮЛ,48,4,3,7,1,81,4.9,34,17:56,D
762,Серсен Михал,СЛВ,62,4,9,13,-25,142,2.8,33,19:39,D
763,Сёмин Владислав,СКА,35,0,0,0,8,34,0.0,16,09:01,D
764,Сизов Антон,СЕВ,18,0,2,2,10,28,0.0,8,15:39,D
765,Сорокин Всеволод,СПР,13,0,1,1,0,8,0.0,2,11:59,D
766,Сотниекс Кристапс,ДРГ,55,3,7,10,-20,78,3.8,28,19:36,D
767,Стасенко Николай,ВИТ,55,1,9,10,-2,51,2.0,36,18:06,D
768,Столлери Карл,ЙОК,54,3,7,10,17,82,3.7,8,15:12,D
769,Сычушкин Владимир,СЕВ,22,0,0,0,-4,7,0.0,12,06:47,D
770,Там Микаэль,КУН,5,0,0,0,0,8,0.0,6,11:49,D
771,Таратунин Тимур,АДМ,27,0,0,0,-6,21,0.0,8,15:15,D
772,Таталин Роман,АДМ,49,0,10,10,-5,40,0.0,22,15:57,D
773,Терещенко Сергей,СЮЛ,36,0,3,3,-1,35,0.0,20,14:21,D
774,Тимашов Николай,НХК,46,0,2,2,-7,55,0.0,37,14:06,D
775,Токранов Василий,СКА,23,2,9,11,7,42,4.8,6,17:04,D
776,Трямкин Никита,АВТ,41,3,8,11,13,100,3.0,31,20:22,D
777,Турбин Павел,АМР,19,0,3,3,-7,16,0.0,4,17:51,D
778,Угольников Александр,АДМ,60,8,9,17,-10,115,7.0,34,20:10,D
779,Фазылзянов Камиль,НХК,1,0,0,0,0,1,0.0,0,01:15,D
780,Фаткуллин Тимур,НХК,3,0,0,0,-1,0,0.0,0,00:51,D
781,Фрэнсон Коди,АВГ,54,5,21,26,13,168,3.0,20,21:14,D
782,Фэйрчайлд Кейд,ДРГ,6,1,0,1,-3,9,11.1,0,11:21,D
783,Хабаров Макар,СЕВ,22,0,1,1,-3,18,0.0,14,08:02,D
784,Хафизуллин Динар,СКА,49,7,14,21,12,70,10.0,37,19:31,D
785,Хенкель Кристиан,ДМН,59,4,10,14,3,49,8.2,36,18:47,D
786,Херсли Патрик,СКА,36,14,19,33,14,124,11.3,6,20:25,D
787,Хиетанен Юусо,ДИН,54,6,13,19,6,127,4.7,14,20:36,D
788,Хлыстов Никита,ТРК,41,0,1,1,-5,43,0.0,14,13:39,D
789,Хольм Филип,ТОР,61,7,19,26,-14,146,4.8,36,21:46,D
790,Хомицкий Вадим,СОЧ,23,2,0,2,6,14,14.3,18,11:08,D
791,Хохлов Илья,СЕВ,47,4,6,10,-8,71,5.6,57,16:43,D
792,Цулыгин Кирилл,СЮЛ,3,0,0,0,0,6,0.0,0,13:40,D
793,Чайковски Михал,ДИН,12,0,2,2,1,22,0.0,32,14:55,D
794,Черепанов Никита,ЛОК,47,2,2,4,5,41,4.9,28,15:32,D
795,Чмыхов Артём,ЦСК,26,1,1,2,1,19,5.3,18,11:43,D
796,Чудинов Максим,АВГ,59,9,10,19,-9,153,5.9,22,20:11,D
797,Шалапов Егор,БАР,5,0,0,0,0,1,0.0,0,04:08,D
